Cod_ibge;Mun;Município_base;Regional;Lat;Long;Unidade_Nome;Unidade
3512902;COSMORAMA;Cosmorama;Regional Votuporanga;-49,770671;-20,421336;CASA DE AGRICULTURA DE Cosmorama;CA
3513108;CRAVINHOS;Cravinhos;Regional Ribeirão Preto;-47,765759;-21,316114;CASA DE AGRICULTURA DE Cravinhos;CA
3513207;CRISTAIS PAULISTA;Cristais Paulista;Regional Franca;-47,402534;-20,365682;CASA DE AGRICULTURA DE Cristais Paulista;CA
3513306;CRUZÁLIA;Cruzália;Regional Assis;-50,763489;-22,73176;CASA DE AGRICULTURA DE Cruzália;CA
3513405;CRUZEIRO;Cruzeiro;Regional Guaratinguetá;-45,009871;-22,58472;CASA DE AGRICULTURA DE Cruzeiro;CA
3513603;CUNHA;Cunha;Regional Guaratinguetá;-44,892839;-23,080124;CASA DE AGRICULTURA DE Cunha;CA
3513702;DESCALVADO;Descalvado;Regional Araraquara;-47,651036;-21,878994;CASA DE AGRICULTURA DE Descalvado;CA
3513850;DIRCE REIS;Dirce Reis;Regional Jales;-50,621348;-20,456918;CASA DE AGRICULTURA DE Dirce Reis;CA
3513900;DIVINOLÂNDIA;Divinolândia;Regional São João da Boa Vista;-46,707515;-21,669758;CASA DE AGRICULTURA DE Divinolândia;CA
3514106;DOIS CÓRREGOS;Dois Córregos;Regional Jaú;-48,364195;-22,39992;CASA DE AGRICULTURA DE Dois Córregos;CA
3514205;DOLCINÓPOLIS;Dolcinópolis;Regional Jales;-50,533987;-20,111557;CASA DE AGRICULTURA DE Dolcinópolis;CA
3514304;DOURADO;Dourado;Regional Araraquara;-48,349337;-22,119005;CASA DE AGRICULTURA DE Dourado;CA
3514403;DRACENA;Dracena;Regional Dracena;-51,594477;-21,582267;CASA DE AGRICULTURA DE Dracena;CA
3514502;DUARTINA;Duartina;Regional Bauru;-49,405393;-22,393288;CASA DE AGRICULTURA DE Duartina;CA
3514601;DUMONT;Dumont;Regional Ribeirão Preto;-47,972432;-21,245191;CASA DE AGRICULTURA DE Dumont;CA
3514700;ECHAPORÃ;Echaporã;Regional Assis;-50,21337;-22,413736;CASA DE AGRICULTURA DE Echaporã;CA
